URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Florida,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Truman State,13T,14
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Dartmouth,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Emory,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,British Columbia,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,UCLA,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Washington,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Carleton College,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Michigan,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Ottawa,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Northeastern,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Texas,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Maryland,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Michigan State,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Wake Forest,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,Oregon,13T,14
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,MIT,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2008-d-i-women/,2008,North Carolina,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Washington,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Oregon,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Stanford,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Ottawa,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Pennsylvania,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,UCLA,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Carleton College,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Michigan,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,North Carolina,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,North Carolina-Wilmington,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Dartmouth,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Saint Louis,13T,14
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Colorado,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Iowa State,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2009-d-i-women/,2009,Northeastern,17T,17
