URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Delaware,15,15
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Kansas,16,16
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Brown,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Colorado,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,California-San Diego,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Stanford,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Georgia,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Texas,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Washington,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Michigan,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Michigan State,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Carleton College,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,Harvarrd,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/2005-d-i-men/,2005,British Columbia,13T,13
